mapCluster, "Печать одной строки для каждого объекта, сопоставленного клиенту"
mapIds, "Сопоставления идентификаторов объектов на стороне сервера"
massEdit,  "Отслеживание сведений массового редактирования"
massEditLow,  "Отслеживание низкоуровневого массового редактирования"
masterAgreementUI, "Отслеживание пользовательского интерфейса контрактов"
messaging, "Сведения, затрагивающие инфраструктуру обмена сообщениями"
messaging.details, "Подробные сведения, затрагивающие инфраструктуру обмена сообщениями"
meta, "Обработка метаданных"
metaDataResolver, "Сообщения, связанные с распознавателем метаданных XML"
meta.modification, "Сообщения, касающиеся изменений метаданных во время выполнения"
metaValidation, "Проверка метаданных"
migrationDetails, "Сообщения отладки, связанные с миграцией"
mobile, "Сообщения, связанные с мобильным клиентом"
modify, "Операции изменения"
nestedSession, "Отслеживание вложенных сеансов"
net, "Сообщения, связанные с сетью"
nodeassignment, "Сообщения диспетчера назначений"
notification, "Сообщения, связанные с уведомлениями по электронной почте"
objectOperations, "Сохранения низкоуровневых объектов и операции присвоения полям значений"
objectValidationSanityCheck, "Для выполнения проверки объектов условия правильности должны быть определены соответствующим образом"
objectViewers, "Сообщения просмотрщика подробностей всех объектов"
onClient, "Отслеживание транзакций клиентов"
org.apache.axis, "Сообщения Apache Axis"
packager.appcore, "Отслеживание операций настройки"
page, "Отслеживание формирования страниц"
paramReference, "Отслеживание сведений общих приложений (AppInfo)"
parameters, "Отслеживание компонента параметров в целом"
partner, "Сообщения категорий для партнеров Ariba"
perfLog, "Регистрация производительности"
perfLog.trace, "Ведение журнала эффективности каждого запроса"
perfLog.detail, "Подробное разбиение данных каждого показателя"
perfLog.exception, "Наблюдение и регистрация долго выполняющихся операций"
portlet, "Формирование содержимого портлетов"
preferences, "Показать деятельность клиента по настройке параметров"
printOnMap, "Печать кластеров при их сопоставлении с клиентом"
psoftAdapter, "Сообщения, связанные с PeopleSoft"
punchout, "Отслеживание сведений о punchout"
punchout.analysis, "Сведения по средствам punchout для интеграции с Analysis"
queryperf, "Сведения о производительности запросов AQL"
queryPathNode,"Запрашивает данные о пути к узлу во время поиска в памяти"
receivingUI, "Отслеживание данных пользовательского интерфейса получения"
chargeUI, "Отслеживание данных пользовательского интерфейса платежей"
recentUserChoice, "Отслеживание сведений о сделанных недавних выборах пользователя"
record, "Сведения о предыдущих позициях"
rpcPerf, "Сведения об RPC более высокого уровня для настройки профиля запуска"
rpcRecv, "Все полученные RPC"
rpcSend, "Все отправленные RPC"
rpcStatus, "Показать состояние ожидающих RPC"
rpcWarning, "Предупреждения о задержке RPC"
rules, "Отслеживание сведений о правилах"
runtime,  "Низкоуровневое выполнение"
sapadapter, "Сообщения, связанные с SAP"
save, "Сохранения клиентов"
saveSubs, "Сохранение и восстановление подписок"
scheduler, "Отслеживание планировщика"
scheduler.amf.base, "Сообщения, связанные с запланированными заданиями обмена сообщениями"
scheduler.appcore, "Отслеживание планировщика на уровне приложений"
scheduler.nodeassignment,"Сообщения назначений узлов планировщика"
script, "Сообщения сценариев"
searchindex, "Отслеживание указателей поиска по каталогам"
searchui, "Отслеживание пользовательского интерфейса поиска по каталогам"
security, "Сообщения, связанные с безопасностью"
selectClusterRoot, "Сообщения восстановления объектов"
serverCache, "Сообщения управления кэшем сервера"
serverMonitor, "Операции с монитором сервера"
serverOps, "Операции сервера по запросу клиента"
servletadaptor, "Сообщения, связанные с веб-сервлетом Ariba"
